排名,ip,数量,百分比
1,213.199.49.228,3,10.71
3,87.249.43.21,2,7.14
2,164.132.170.4,2,7.14
14,223.93.149.155,1,3.57
23,139.162.124.132,1,3.57
22,78.131.12.248,1,3.57
21,35.228.178.136,1,3.57
20,35.219.66.183,1,3.57
19,164.92.118.22,1,3.57
18,39.105.205.117,1,3.57
17,139.196.46.20,1,3.57
16,212.31.104.135,1,3.57
15,139.59.97.220,1,3.57
13,45.33.44.209,1,3.57
12,114.119.133.108,1,3.57
11,66.249.66.169,1,3.57
10,103.76.249.152,1,3.57
9,223.93.149.179,1,3.57
8,103.142.69.162,1,3.57
7,103.130.215.173,1,3.57
6,104.192.7.83,1,3.57
5,159.89.163.26,1,3.57
4,77.222.62.198,1,3.57
24,47.111.116.44,1,3.57
